,Date,TOPIX,VIX,Value,Size,JPY_USD
1365,2015/1/5,-0.369710174,-0.81146112,-1.200522943,-2.623494088,0.225022718
1366,2015/1/6,-2.182163313,-0.982227156,-0.302509582,0.445702742,-1.772251671
1367,2015/1/7,-0.102806323,-0.731770304,-0.078006242,-0.256700512,1.566941448
1368,2015/1/8,0.942044444,-0.970842754,-0.559084828,-0.3788576,0.05338195
1369,2015/1/9,0.127505122,-1.084686778,-0.01386243,-0.898025223,-1.61621461
1370,2015/1/13,-0.347666336,-0.891151937,-1.120343179,-0.104004153,-0.851633008
1371,2015/1/14,-0.939595072,-0.674848292,-0.190257912,0.262467111,-1.444573842
1372,2015/1/15,0.983891577,-0.697617096,-0.703408404,0.048692207,-0.523955178
1373,2015/1/16,-0.728492705,-0.561004268,-0.142150053,-0.791137771,1.239263618
1374,2015/1/20,1.797683845,-0.037321758,-0.206293865,-0.60790214,1.847808159
1375,2015/1/21,-0.404220895,-0.242241001,-0.799624121,-0.027655973,-1.0856886
1376,2015/1/22,-0.092682618,0.042369059,0.387036392,-0.210891604,0.178211599
1377,2015/1/23,0.705404538,0.554667166,0.755863308,-0.439936144,-0.570766297
1378,2015/1/26,-0.089991696,1.021427664,-0.318545535,0.735825826,0.942793201
1379,2015/1/27,1.249143538,0.554667166,0.178569005,-0.68425032,-0.804821889
1380,2015/1/28,0.154941547,0.759586409,0.130461146,0.781634733,-0.118258818
1381,2015/1/29,-0.884755834,0.725433202,0.258748769,0.56785983,0.833567258
1382,2015/1/30,0.048884297,0.611589178,0.194604957,0.919061457,-1.335347899
1383,2015/2/2,-0.362606045,0.304210314,2.407566455,-0.470475416,-0.289899586
1384,2015/2/3,-0.898752148,1.078349676,1.124690225,0.018152935,0.068985656
1385,2015/2/4,1.274247046,1.169424895,1.285049753,-0.913294859,0.240626424
1386,2015/2/5,-0.392225306,0.725433202,0.884150931,-0.256700512,-0.352314411
1387,2015/2/6,0.343179258,0.440823143,0.194604957,-0.271970148,2.830841647
1388,2015/2/9,0.375275025,0.383901131,0.579467827,0.079231479,-0.67999224
1389,2015/2/10,0.116570692,0.748202007,0.451180204,-0.271970148,1.052019144
1390,2015/2/12,1.091466596,0.770970812,-0.094042194,-0.989643039,-0.789218183
1391,2015/2/13,-0.030025073,0.827892824,0.066317334,-0.22616124,-0.196277349
1392,2015/2/17,0.619184862,0.554667166,1.317121659,0.674747282,0.537096841
1393,2015/2/18,1.011639724,0.440823143,-0.254401723,-0.852216315,0.240626424
1394,2015/2/19,0.583280362,0.156213083,0.611539732,-0.058195245,-0.508351472
1395,2015/2/20,0.238804138,0.178981888,-0.222329818,0.018152935,0.131400481
1396,2015/2/23,0.094381746,-0.04870616,-0.671336498,-0.317779056,-0.227484761
1397,2015/2/24,0.239863097,-0.413007037,-0.094042194,-0.180352333,0.006570831
1398,2015/2/25,-0.062081336,-0.515466658,0.274784722,0.460972378,0.05338195
1399,2015/2/26,0.661257098,0.178981888,0.675683544,-0.623171776,0.755548727
1400,2015/2/27,0.076531701,0.156213083,-0.527012922,-0.119273789,0.303041248
1401,2015/3/2,0.025161332,-0.117012575,-5.434014504,4.125685011,0.786756139
1402,2015/3/3,0.061195902,0.053753461,-0.543048875,-0.623171776,-0.88284042
1403,2015/3/4,-0.509662504,0.076522266,-0.158186006,0.522050922,0.287437542
1404,2015/3/5,0.298910085,-0.139781379,0.114425193,-0.45520578,0.568304253
1405,2015/3/6,0.801920237,-0.310547415,-0.318545535,-0.730059227,1.06762285
1406,2015/3/9,-0.4693242,0.122059876,0.002173523,0.552590194,0.755548727
1407,2015/3/10,-0.370845603,0.486360752,-0.446833158,0.690016918,-0.445936647
1408,2015/3/11,0.015374743,0.042369059,-0.591156734,0.201388567,0.583907959
1409,2015/3/12,0.985850389,-0.014552953,0.082353287,-0.623171776,-0.087051406
1410,2015/3/13,0.6267458,0.224519497,-0.607192687,-0.439936144,0.037778244
1411,2015/3/16,-0.130686169,0.372516728,0.082353287,0.445702742,-0.055843993
1412,2015/3/17,0.55511059,0.326979119,-1.008091509,-0.928564495,0.037778244
1413,2015/3/18,0.535036941,0.019600254,0.018209476,-0.485745052,-0.633181121
1414,2015/3/19,-0.342883199,0.053753461,-0.655300545,-0.22616124,-0.118258818
1415,2015/3/20,0.192105658,-0.060090563,-0.078006242,0.399893834,-1.397762723
1416,2015/3/23,0.521193812,0.14482868,-0.334581488,-0.348318328,-0.414729235
1417,2015/3/24,-0.24761759,0.213135095,0.130461146,0.247197475,-0.180673643
1418,2015/3/25,0.177376961,0.304210314,0.114425193,-0.363587964,-0.258692174
1419,2015/3/26,-1.121439472,-0.128396977,0.066317334,0.293006382,-0.211881055
1420,2015/3/27,-0.79425809,0.577435971,-1.441062237,-0.638441412,-0.399125529
1421,2015/3/30,0.209242129,0.509129557,-0.094042194,0.293006382,1.442111798
1422,2015/3/31,-0.733132623,0.611589178,0.114425193,1.957396703,-0.180673643
1423,2015/4/1,-0.713563366,0.235903899,6.111871571,-0.027655973,-0.711199652
1424,2015/4/2,1.185990821,-0.025937355,0.32289258,-0.424666508,0.318644955
1425,2015/4/6,0.282969332,-0.356085025,-0.831696027,0.476242014,-0.88284042
1426,2015/4/7,0.816270988,-0.173934587,0.483252109,-0.974373403,1.769789628
1427,2015/4/8,0.436663171,-0.265009806,0.130461146,0.399893834,-0.555162591
1428,2015/4/9,0.237969249,-0.299163013,-0.286473629,-0.485745052,0.693133902
1429,2015/4/10,-0.246883632,-0.458544646,0.354964486,0.735825826,-0.27429588
1430,2015/4/13,-0.183223514,-0.504082256,0.21064091,0.186118931,0.006570831
1431,2015/4/14,0.184099301,-0.731770304,0.93225879,0.919061457,-1.397762723
1432,2015/4/15,-0.123593548,-1.050533571,0.354964486,-0.898025223,-0.352314411
1433,2015/4/16,0.465771861,-0.879767535,2.423602408,-0.180352333,0.209419011
1434,2015/4/17,-0.53041576,-0.845614328,1.413337376,-0.30250942,-0.570766297
1435,2015/4/20,-0.311554186,-1.027764766,-0.222329818,-0.653711048,0.739945021
1436,2015/4/21,1.19227271,-1.073302375,-0.078006242,-1.386653574,0.240626424
1437,2015/4/22,0.565221959,-1.084686778,0.563431874,-0.256700512,0.537096841
1438,2015/4/23,0.111677251,-0.743154706,-0.078006242,-0.668980684,-0.289899586
1439,2015/4/24,-0.306181812,-0.731770304,0.803971167,0.41516347,-1.132499719
1440,2015/4/27,-0.018939837,-0.458544646,-0.350617441,0.063961843,-0.087051406
1441,2015/4/28,0.35373499,-0.492697853,-0.23836577,-0.852216315,-0.009032875
1442,2015/4/30,-1.630527463,-0.458544646,0.964330696,1.987935975,1.098830263
1443,2015/5/1,-0.365715872,-0.162550184,-7.24607718,1.331341628,0.771152433
1444,2015/5/7,-0.546134323,1.203578103,1.108654272,0.934331093,-0.555162591
1445,2015/5/8,0.587944402,1.010043262,1.188834036,-0.134543425,-0.0714477
1446,2015/5/11,0.464236029,0.383901131,0.387036392,1.041218545,0.45907831
1447,2015/5/12,0.153699357,0.873430433,0.70775545,0.125040387,-0.383521823
1448,2015/5/13,0.060533383,1.089734079,-0.751516263,-0.088734517,-1.163707131
1449,2015/5/14,-0.62190467,0.725433202,-0.1261141,0.522050922,0.068985656
1450,2015/5/15,0.697281919,0.349747923,-0.462869111,-0.623171776,0.178211599
1451,2015/5/18,0.870254089,0.338363521,1.76612834,-0.730059227,0.942793201
1452,2015/5/19,0.274994941,0.19036629,-0.078006242,0.674747282,1.145641381
1453,2015/5/20,0.427867862,0.076522266,-1.056199367,-0.287239784,0.98960432
1454,2015/5/21,0.124283732,-0.04870616,0.499288062,-0.577362868,-0.289899586
1455,2015/5/22,0.017919814,-0.253625403,0.034245429,0.766365098,0.739945021
1456,2015/5/26,0.497871934,-0.265009806,0.93225879,-0.882755587,2.144278576
1457,2015/5/27,0.049364086,-0.367469427,-0.270437676,0.216658203,1.488922917
1458,2015/5/28,0.480707951,-0.09424377,0.916222837,-1.111800127,-0.0714477
1459,2015/5/29,0.010070317,-0.04870616,0.242712816,0.445702742,0.474682016
1460,2015/6/1,0.18847862,0.030984656,-4.183210179,1.087027453,1.114433969
1461,2015/6/2,-0.222607203,-0.037321758,-0.95998365,0.506781286,-1.335347899
1462,2015/6/3,-0.217316573,0.418054338,0.675683544,0.231927839,0.552700547
1463,2015/6/4,0.144068733,0.850661629,0.82000712,0.323545654,0.225022718
1464,2015/6/5,-0.333766749,0.452207545,-1.07223532,0.674747282,1.707374803
1465,2015/6/8,-0.256171455,0.292825911,0.547395921,0.64420801,-0.898444126
1466,2015/6/9,-1.276567005,-0.071474965,-0.222329818,0.186118931,-1.210518249
1467,2015/6/10,-0.309597768,0.520513959,-0.206293865,0.308276018,-2.380796212
1468,2015/6/11,0.908312284,1.158040493,-0.318545535,0.048692207,1.348489561
1469,2015/6/12,0.087734514,0.816508421,-0.302509582,0.201388567,-0.399125529
1470,2015/6/15,-0.009688257,0.622973581,-0.029898383,-0.027655973,0.068985656
1471,2015/6/16,-0.574773332,0.383901131,-0.655300545,0.186118931,-0.0714477
1472,2015/6/17,-0.309569307,0.418054338,-0.414761252,0.751095462,1.27047103
1473,2015/6/18,-0.80975241,0.19036629,-0.366653393,0.445702742,-1.865873908
1474,2015/6/19,0.628099791,-0.025937355,-0.687372451,0.247197475,-0.508351472
1475,2015/6/22,0.769181276,-0.003168551,0.563431874,-0.60790214,0.927189495
1476,2015/6/23,1.214407722,0.611589178,0.338928533,-0.898025223,0.849170964
1477,2015/6/24,0.125246178,0.645742386,-0.078006242,0.384624198,0.271833836
1478,2015/6/25,-0.428366981,0.577435971,0.258748769,-0.333048692,-0.711199652
1479,2015/6/29,-2.11098055,1.146656091,0.338928533,0.384624198,-1.772251671
1480,2015/6/30,0.225606175,0.770970812,-0.655300545,0.705286554,-0.539558884
1481,2015/7/1,0.244290977,0.793739617,1.365229518,-3.738177513,1.410904386
1482,2015/7/2,0.50651212,1.135271688,0.451180204,-0.22616124,0.147004187
1483,2015/7/6,-1.298998057,0.463591947,-0.671336498,-1.157609035,-0.929651539
1484,2015/7/7,0.741230427,0.167597485,-0.478905064,0.125040387,-0.414729235
1485,2015/7/10,-2.510234192,-0.082859367,-0.094042194,-1.493541026,0.771152433
1486,2015/7/13,1.365218737,-0.082859367,-0.110078147,-0.119273789,0.911585789
1487,2015/7/14,1.123718117,-0.037321758,0.371000439,0.537320558,-0.024636581
1488,2015/7/15,0.319328775,-0.344700622,-0.494941017,0.537320558,0.802359846
1489,2015/7/16,0.619404865,-0.299163013,0.018209476,-0.271970148,0.287437542
1490,2015/7/17,0.064967954,-0.469929049,-0.01386243,-0.3788576,0.022174537
1491,2015/7/21,0.458435319,-0.458544646,-0.607192687,0.384624198,-0.461540354
1492,2015/7/22,-0.856979283,-0.299163013,-0.094042194,0.384624198,0.412267192
1493,2015/7/23,0.396770792,-0.401622634,-0.029898383,-0.058195245,-0.445936647
1494,2015/7/24,-0.433770246,-0.447160244,-0.607192687,0.231927839,0.022174537
1495,2015/7/27,-0.841042839,-0.435775841,0.451180204,-0.668980684,-0.945255245
1496,2015/7/28,-0.413955534,-0.344700622,-0.334581488,1.209184541,0.583907959
1497,2015/7/29,0.174800644,-0.663463889,0.755863308,-0.073464881,0.334248661
1498,2015/7/30,0.572401363,-0.663463889,1.87838001,-0.653711048,0.817963552
1499,2015/7/31,0.524536935,-0.765923511,0.274784722,0.094501115,-0.711199652
1500,2015/8/3,-0.025924469,-0.663463889,-0.976019603,1.28553272,-0.040240287
1501,2015/8/4,-0.019199464,-0.674848292,-0.366653393,0.430433106,0.147004187
1502,2015/8/5,0.239891724,-0.253625403,-0.366653393,0.018152935,1.426508092
1503,2015/8/6,0.314992494,-0.09424377,0.531359968,-0.256700512,-0.461540354
1504,2015/8/7,0.219515116,-0.230856598,0.258748769,-0.714789591,-0.570766297
1505,2015/8/10,0.504784455,-0.208087794,-0.655300545,0.995409637,0.505889428
1506,2015/8/11,-0.192043703,-0.28777861,0.515324015,0.33881529,0.86477467
1507,2015/8/12,-0.999273807,-0.060090563,0.09838924,0.109770751,-1.834666496
1508,2015/8/13,0.068704464,-0.003168551,-0.254401723,0.079231479,0.693133902
1509,2015/8/14,-0.185378476,-0.891151937,-0.607192687,0.674747282,-0.165069937
1510,2015/8/17,0.345534134,-0.731770304,0.21064091,0.460972378,0.068985656
1511,2015/8/18,-0.058431239,-0.652079487,0.499288062,0.033422571,0.006570831
1512,2015/8/19,-1.093519914,-0.663463889,0.595503779,-0.363587964,-0.47714406
1513,2015/8/20,-1.148353602,-0.822845523,-1.056199367,0.002883299,-0.976462657
1514,2015/8/21,-2.397923537,-0.743154706,-0.302509582,0.002883299,-2.209155444
1515,2015/8/24,-4.521251578,-0.390238232,-0.591156734,-0.241430876,-4.456089131
1516,2015/8/25,-2.492914215,-0.33331622,0.178569005,0.018152935,1.145641381
1517,2015/8/26,2.338353832,-0.435775841,0.130461146,-0.119273789,-0.914047832
1518,2015/8/27,1.041496824,-0.413007037,0.146497099,-0.317779056,2.924463884
1519,2015/8/28,2.380581198,-0.413007037,0.884150931,0.170849295,0.739945021
1520,2015/8/31,-0.644240589,-0.469929049,-0.206293865,1.774161071,-0.726803358
1521,2015/9/2,-3.551855032,-0.515466658,1.140726177,-4.074109505,-1.741044259
1522,2015/9/3,0.425431338,-0.504082256,-0.142150053,-0.424666508,-0.227484761
1523,2015/9/4,-1.581825768,-0.538235463,0.595503779,0.170849295,-1.585007197
1524,2015/9/8,-1.476626677,-0.526851061,1.798200246,-0.775868135,1.27047103
1525,2015/9/10,3.198613572,-0.128396977,0.242712816,-0.348318328,1.223659912
1526,2015/9/11,0.006190126,-0.139781379,0.114425193,1.636734348,-0.024636581
1527,2015/9/14,-0.930797191,0.008215852,-0.318545535,1.025948909,-0.929651539
1528,2015/9/15,-0.038162558,-0.128396977,-0.01386243,-0.134543425,0.552700547
1529,2015/9/16,0.495856398,-0.458544646,0.242712816,-1.020182311,0.474682016
1530,2015/9/17,0.93993078,-0.515466658,-0.254401723,0.079231479,0.427870898
1531,2015/9/18,-1.517197787,-0.481313451,-0.911875791,0.857982913,-1.522592373
1532,2015/9/24,-1.853550343,-0.401622634,-0.029898383,0.323545654,-0.617577415
1533,2015/9/25,1.357153218,-0.253625403,0.627575685,-0.042925609,1.551337741
1534,2015/9/28,-0.808526984,0.099291071,-1.312774613,2.140632335,-1.241725662
1535,2015/9/29,-3.369764782,-0.003168551,-0.206293865,1.636734348,-0.180673643
1536,2015/9/30,1.874023072,-0.09424377,0.499288062,0.262467111,-0.040240287
1537,2015/10/1,1.617427786,-0.219472196,-0.751516263,-6.150779996,0.115796774
1538,2015/10/2,0.082844549,-0.344700622,0.082353287,-0.119273789,0.240626424
1539,2015/10/5,0.942623107,-0.481313451,-0.992055556,-0.363587964,0.849170964
1540,2015/10/6,0.573955016,-0.492697853,0.387036392,-0.3788576,-0.305503292
1541,2015/10/7,0.839205433,-0.629310682,1.830272151,-1.188148306,-0.523955178
1542,2015/10/8,-0.618410988,-0.822845523,0.531359968,-0.53155396,-0.055843993
1543,2015/10/9,1.645826902,-0.925305144,0.467216156,-1.142339399,0.552700547
1544,2015/10/13,-0.621227791,-1.073302375,-0.543048875,1.529846896,-0.804821889
1545,2015/10/14,-1.645994144,-1.073302375,-0.494941017,1.010679273,-0.914047832
1546,2015/10/15,0.970048126,-1.039149168,-0.382689346,0.308276018,-1.210518249
1547,2015/10/16,0.72145219,-1.118839985,0.419108298,-2.19594428,1.59814886
1548,2015/10/19,-0.57957587,-1.039149168,-0.366653393,1.346611264,0.022174537
1549,2015/10/20,0.19566788,-1.107455582,0.483252109,-1.081260855,0.599511665
1550,2015/10/21,1.324501495,-1.039149168,0.948294743,-0.668980684,0.162607893
1551,2015/10/22,-0.449356926,-1.050533571,0.050281381,0.506781286,1.083226557
1552,2015/10/23,1.408308096,-1.050533571,-0.334581488,-1.432462482,1.254867324
1553,2015/10/26,0.50461687,-0.822845523,-0.350617441,-0.485745052,-0.758010771
1554,2015/10/27,-0.791388939,-0.834229925,-1.024127462,0.354084926,-0.960858951
1555,2015/10/28,0.166980994,-0.788692316,0.018209476,-0.287239784,0.209419011
1556,2015/10/29,-0.033359467,-0.777307913,-0.751516263,0.552590194,0.895982083
1557,2015/10/30,0.502002654,-1.221299606,-0.783588168,-0.317779056,-0.758010771
1558,2015/11/2,-1.536098762,-1.369296837,0.21064091,6.858949849,0.147004187
1559,2015/11/4,0.623564706,-1.118839985,0.226676863,-1.111800127,1.317282149
1560,2015/11/5,0.675806199,-1.209915204,-0.094042194,-0.22616124,0.349852367
1561,2015/11/6,0.375645102,-1.198530802,-0.158186006,-0.058195245,2.066260045
1562,2015/11/9,1.262278846,-1.09607118,1.060546413,-0.928564495,0.006570831
1563,2015/11/10,-0.099235968,-1.369296837,-0.302509582,-0.30250942,-0.009032875
1564,2015/11/11,0.243397247,-1.198530802,-0.366653393,0.674747282,-0.289899586
1565,2015/11/12,-0.111185889,-1.596984885,-0.655300545,0.186118931,-0.305503292
1566,2015/11/13,-0.391824035,-1.221299606,-0.222329818,0.613668738,-0.258692174
1567,2015/11/16,-0.703576117,-1.312374825,0.226676863,0.399893834,0.880378376
1568,2015/11/17,0.65769052,-1.448987654,0.018209476,0.109770751,0.334248661
1569,2015/11/18,-0.009809439,-1.517294068,-0.446833158,-0.241430876,0.147004187
1570,2015/11/19,0.617287194,-1.483140861,0.162533052,0.033422571,-1.023273776
1571,2015/11/20,0.100568731,-1.084686778,-0.84773198,0.873252549,-0.0714477
1572,2015/11/24,0.098488286,-0.879767535,-0.430797205,0.949600729,-0.601973709
1573,2015/11/25,-0.553569805,-1.198530802,-0.302509582,0.170849295,0.381059779
1574,2015/11/27,-0.039778529,-1.346528033,0.050281381,0.247197475,0.178211599
1575,2015/11/30,-0.695206318,-1.198530802,-0.992055556,1.545116532,0.537096841
1576,2015/12/1,0.985393653,-1.221299606,4.139449366,-4.562737856,-0.367918117
1577,2015/12/2,-0.015112821,-1.175761997,0.034245429,0.369354562,0.927189495
1578,2015/12/3,0.002063126,-1.164377594,0.32289258,-0.042925609,-1.194914543
1579,2015/12/4,-1.38434247,-1.039149168,0.290820675,0.49151165,0.537096841
1580,2015/12/7,0.497641959,-1.164377594,-0.783588168,0.079231479,0.209419011
1581,2015/12/8,-0.807179711,-1.312374825,-0.510976969,0.354084926,-0.47714406
1582,2015/12/9,-0.655924602,-1.346528033,0.483252109,-0.241430876,-2.42760733
1583,2015/12/10,-0.761659521,-1.414834447,0.162533052,-0.348318328,0.068985656
1584,2015/12/11,0.411697458,-1.414834447,-0.414761252,-0.104004153,-0.695595946
1585,2015/12/14,-1.075598307,-1.414834447,-0.446833158,0.842713277,-0.47714406
1586,2015/12/15,-1.273532264,-1.369296837,-0.222329818,0.369354562,1.629356272
1587,2015/12/16,1.837259059,-1.266837216,0.483252109,-1.844742653,0.131400481
1588,2015/12/17,1.120239018,-1.540062873,-0.863767933,0.33881529,1.208056206
1589,2015/12/18,-1.354308279,-1.414834447,-0.462869111,1.010679273,-2.302777681
1590,2015/12/21,-0.31180516,-1.255452814,-0.078006242,-0.501014688,-0.055843993
1591,2015/12/22,0.08314611,-1.483140861,-0.045934336,-0.027655973,-0.211881055
1592,2015/12/24,-0.515350145,-1.323759228,0.964330696,-0.928564495,-1.101292306
1593,2015/12/28,0.243493598,-1.403450045,0.018209476,0.781634733,0.068985656
1594,2015/12/29,0.65684843,-1.278221618,-0.206293865,0.445702742,0.100193068
1595,2015/12/30,0.15877003,-1.107455582,-0.302509582,0.41516347,0.287437542
1596,2016/1/4,-1.861621491,-1.312374825,1.685948575,-0.470475416,-1.881477615
1597,2016/1/5,-0.274401397,-1.323759228,0.435144251,0.277736747,-0.664388534
1598,2016/1/6,-0.818518927,-1.369296837,-0.494941017,0.186118931,-0.601973709
1599,2016/1/7,-1.590189309,-1.346528033,-0.831696027,0.919061457,-1.007670069
1600,2016/1/8,-0.573548073,-1.198530802,0.018209476,-0.592632504,-1.116896013
1601,2016/1/12,-2.399566584,-1.198530802,-0.174221959,-0.439936144,0.677530196
1602,2016/1/13,2.071154489,-1.118839985,-0.334581488,0.109770751,0.552700547
1603,2016/1/14,-1.886413372,-0.299163013,0.691719497,0.308276018,0.05338195
1604,2016/1/15,-0.246741228,-0.902536339,-0.334581488,0.109770751,-1.756647965
1605,2016/1/19,-0.67111488,-0.800076718,-0.174221959,-0.562093232,0.724341315
1606,2016/1/20,-2.834783232,-0.777307913,-0.078006242,0.262467111,-1.522592373
1607,2016/1/21,-2.142201222,-0.697617096,-0.270437676,-0.333048692,1.863411865
1608,2016/1/22,4.015256874,-0.81146112,-0.158186006,-0.317779056,1.707374803
1609,2016/1/25,0.962399947,-0.902536339,-0.895839839,0.72055619,-0.352314411
1610,2016/1/26,-1.781242862,-0.891151937,-1.008091509,0.369354562,-0.009032875
1611,2016/1/27,2.152190419,-0.845614328,0.852079026,-0.256700512,0.521493135
1612,2016/1/28,-0.487808127,-0.652079487,-0.73548031,0.72055619,-0.211881055
1613,2016/1/29,2.076975625,0.19036629,-0.992055556,-0.30250942,3.689045486
1614,2016/2/1,1.543799314,0.850661629,0.595503779,-1.707315929,-0.165069937
1615,2016/2/2,-0.572294815,0.304210314,-1.408990331,-0.134543425,-1.382159017
1616,2016/2/3,-2.412902329,0.304210314,-1.761781294,1.071757817,-3.76952606
1617,2016/2/4,-0.959210246,0.383901131,1.413337376,-1.218687578,-1.460177548
1618,2016/2/5,-1.100232038,0.90758364,0.354964486,0.262467111,0.068985656
1619,2016/2/8,0.589758702,1.214962505,-0.863767933,0.980140001,-1.928288733
1620,2016/2/9,-4.248138295,2.512784377,-0.84773198,0.751095462,-1.257329368
1621,2016/2/10,-2.310236066,2.990929278,-0.527012922,-0.104004153,-1.0856886
1622,2016/2/12,-4.183598885,3.184464118,0.900186884,-0.165082697,-1.41336643
1623,2016/2/16,5.986504849,1.23773131,1.028474507,-2.363910276,1.005208026
1624,2016/2/17,-0.872498909,1.647569796,-0.84773198,0.934331093,0.490285722
1625,2016/2/18,1.623187749,1.1921937,0.691719497,0.048692207,-1.179310837
1626,2016/2/19,-1.137590899,1.419881748,-1.216558896,0.125040387,-1.319744193
1627,2016/2/22,0.440205519,1.328806529,-1.729709388,0.460972378,0.630719078
1628,2016/2/23,-0.53668101,1.055580872,1.04451046,-0.271970148,-1.350951605
1629,2016/2/24,-0.413183817,0.964505652,-0.142150053,0.919061457,-1.226121956
1630,2016/2/25,1.29168611,1.112502883,0.162533052,0.445702742,1.972637808
1631,2016/2/26,0.182466774,1.340190931,-0.270437676,-0.287239784,2.066260045
1632,2016/2/29,-0.795018042,0.47497635,0.226676863,0.766365098,-1.678629434
1633,2016/3/1,0.141155593,0.691279995,6.176015382,-1.737855201,1.660563685
1634,2016/3/2,2.70991319,0.850661629,0.739827355,-1.783664109,-0.383521823
1635,2016/3/3,1.034717848,1.078349676,3.145220288,-1.233957214,-0.399125529
1636,2016/3/4,0.312137565,0.679895593,1.589732858,1.300802356,0.349852367
1637,2016/3/7,-0.760815475,0.543282764,0.916222837,1.087027453,-0.289899586
1638,2016/3/8,-0.808369741,0.611589178,-1.104307226,-0.210891604,-1.585007197
1639,2016/3/9,-0.88415915,1.465419358,-0.992055556,-0.3788576,0.833567258
1640,2016/3/10,1.070437717,1.135271688,-0.286473629,0.674747282,-0.399125529
1641,2016/3/11,0.362939465,1.146656091,0.771899261,0.201388567,1.582545154
1642,2016/3/14,1.091368363,1.101118481,0.595503779,0.384624198,-0.133862524
1643,2016/3/15,-0.455119161,0.850661629,-0.73548031,1.148105997,-1.210518249
1644,2016/3/16,-0.660214515,0.725433202,-1.441062237,0.384624198,1.06762285
1645,2016/3/17,-0.11324409,0.645742386,0.483252109,0.186118931,-3.660300117
1646,2016/3/18,-0.795672052,0.873430433,0.563431874,1.117566725,0.287437542
1647,2016/3/22,1.334388027,0.884814836,-0.543048875,-0.210891604,1.286074737
1648,2016/3/23,-0.34141686,0.987274457,-0.639264592,0.399893834,0.225022718
