Date,PX_LAST
2015/1/5,1401.09
2015/1/6,1361.14
2015/1/7,1359.8
2015/1/8,1377.67
2015/1/9,1380.58
2015/1/13,1374.69
2015/1/14,1357.98
2015/1/15,1376.6
2015/1/16,1363.73
2015/1/19,1372.41
2015/1/20,1397.63
2015/1/21,1390.61
2015/1/22,1389.43
2015/1/23,1403.22
2015/1/26,1402.08
2015/1/27,1426.38
2015/1/28,1429.92
2015/1/29,1413.58
2015/1/30,1415.07
2015/2/2,1408.75
2015/2/3,1392.39
2015/2/4,1417
2015/2/5,1410.11
2015/2/6,1417.19
2015/2/9,1424.92
2015/2/10,1427.72
2015/2/12,1449.39
2015/2/13,1449.38
2015/2/16,1459.43
2015/2/17,1462.07
2015/2/18,1482.67
2015/2/19,1494.93
2015/2/20,1500.33
2015/2/23,1502.83
2015/2/24,1508.28
2015/2/25,1507.62
2015/2/26,1521.68
2015/2/27,1523.85
2015/3/2,1524.97
2015/3/3,1526.83
2015/3/4,1517.01
2015/3/5,1523.72
2015/3/6,1540.84
2015/3/9,1531.76
2015/3/10,1524.75
2015/3/11,1525.67
2015/3/12,1546.63
2015/3/13,1560.33
2015/3/16,1558.21
2015/3/17,1570.5
2015/3/18,1582.46
2015/3/19,1575.81
2015/3/20,1580.51
2015/3/23,1592.25
2015/3/24,1587.59
2015/3/25,1592.01
2015/3/26,1568.82
2015/3/27,1552.78
2015/3/30,1557.77
2015/3/31,1543.11
2015/4/1,1528.99
2015/4/2,1554.17
2015/4/3,1564.16
2015/4/6,1560.71
2015/4/7,1578.55
2015/4/8,1588.47
2015/4/9,1594.19
2015/4/10,1589.54
2015/4/13,1586.26
2015/4/14,1590.82
2015/4/15,1588.81
2015/4/16,1599.42
2015/4/17,1588.69
2015/4/20,1582.68
2015/4/21,1608.88
2015/4/22,1621.79
2015/4/23,1624.87
2015/4/24,1618.84
2015/4/27,1619.07
2015/4/28,1627.43
2015/4/30,1592.79
2015/5/1,1585.61
2015/5/7,1574.64
2015/5/8,1587.76
2015/5/11,1598.33
2015/5/12,1602.27
2015/5/13,1604.21
2015/5/14,1591.49
2015/5/15,1607.11
2015/5/18,1626.66
2015/5/19,1633.33
2015/5/20,1643.4
2015/5/21,1646.8
2015/5/22,1647.85
2015/5/25,1659.15
2015/5/26,1659.57
2015/5/27,1661.33
2015/5/28,1672.76
2015/5/29,1673.65
2015/6/1,1678.56
2015/6/2,1674.21
2015/6/3,1669.99
2015/6/4,1673.89
2015/6/5,1667.06
2015/6/8,1661.99
2015/6/9,1634.37
2015/6/10,1628.23
2015/6/11,1648.88
2015/6/12,1651.48
2015/6/15,1651.92
2015/6/16,1639.86
2015/6/17,1633.7
2015/6/18,1616.66
2015/6/19,1631.01
2015/6/22,1648.61
2015/6/23,1676.4
2015/6/24,1679.89
2015/6/25,1670.91
2015/6/26,1667.03
2015/6/29,1624.82
2015/6/30,1630.4
2015/7/1,1636.41
2015/7/2,1648.24
2015/7/3,1652.09
2015/7/6,1620.36
2015/7/7,1637.23
2015/7/8,1582.48
2015/7/9,1579.89
2015/7/10,1583.55
2015/7/13,1613.51
2015/7/14,1638.71
2015/7/15,1646.41
2015/7/16,1660.83
2015/7/17,1662.94
2015/7/21,1673.88
2015/7/22,1655.37
2015/7/23,1664.88
2015/7/24,1655.86
2015/7/27,1637.9
2015/7/28,1629.46
2015/7/29,1633.94
2015/7/30,1647.21
2015/7/31,1659.52
2015/8/3,1659.6
2015/8/4,1659.83
2015/8/5,1665.85
2015/8/6,1673.58
2015/8/7,1679.19
2015/8/10,1691.29
2015/8/11,1687.6
2015/8/12,1665.75
2015/8/13,1667.95
2015/8/14,1664.46
2015/8/17,1672.87
2015/8/18,1672.22
2015/8/19,1648.48
2015/8/20,1623.88
2015/8/21,1573.01
2015/8/24,1480.87
2015/8/25,1432.65
2015/8/26,1478.97
2015/8/27,1500.41
2015/8/28,1549.8
2015/8/31,1537.05
2015/9/1,1478.11
2015/9/2,1465.99
2015/9/3,1474.98
2015/9/4,1444.53
2015/9/7,1445.65
2015/9/8,1416.71
2015/9/9,1507.37
2015/9/10,1479.52
2015/9/11,1480.23
2015/9/14,1462.41
2015/9/15,1462.24
2015/9/16,1472.6
2015/9/17,1491.91
2015/9/18,1462.38
2015/9/24,1426.97
2015/9/25,1453.81
2015/9/28,1438.67
2015/9/29,1375.52
2015/9/30,1411.16
2015/10/1,1442.74
2015/10/2,1444.92
2015/10/5,1463.92
2015/10/6,1475.84
2015/10/7,1493.17
2015/10/8,1481.4
2015/10/9,1515.13
2015/10/13,1503.13
2015/10/14,1470.83
2015/10/15,1490.72
2015/10/16,1505.84
2015/10/19,1494.75
2015/10/20,1499.28
2015/10/21,1526.81
2015/10/22,1518.22
2015/10/23,1547.84
2015/10/26,1558.99
2015/10/27,1543.11
2015/10/28,1547.19
2015/10/29,1547.11
2015/10/30,1558.2
2015/11/2,1526.97
2015/11/4,1540.43
2015/11/5,1555.1
2015/11/6,1563.59
2015/11/9,1590.97
2015/11/10,1589.48
2015/11/11,1595.32
2015/11/12,1593.57
2015/11/13,1585.83
2015/11/16,1571.53
2015/11/17,1586.11
2015/11/18,1586.53
2015/11/19,1600.38
2015/11/20,1603.18
2015/11/24,1605.94
2015/11/25,1594.67
2015/11/26,1602.32
2015/11/27,1594.45
2015/11/30,1580.25
2015/12/1,1601.95
2015/12/2,1602.26
2015/12/3,1602.94
2015/12/4,1574.02
2015/12/7,1585.21
2015/12/8,1568.73
2015/12/9,1555.58
2015/12/10,1540.35
2015/12/11,1549.51
2015/12/14,1527.88
2015/12/15,1502.55
2015/12/16,1540.72
2015/12/17,1564.71
2015/12/18,1537.1
2015/12/21,1531.28
2015/12/22,1533.6
2015/12/24,1523.62
2015/12/25,1516.19
2015/12/28,1529.22
2015/12/29,1543.39
2015/12/30,1547.3
2016/1/4,1509.67
2016/1/5,1504.71
2016/1/6,1488.84
2016/1/7,1457.94
2016/1/8,1447.32
2016/1/12,1401.95
2016/1/13,1442.09
2016/1/14,1406.55
2016/1/15,1402.45
2016/1/18,1387.93
2016/1/19,1390.41
2016/1/20,1338.97
2016/1/21,1301.49
2016/1/22,1374.19
2016/1/25,1392.63
2016/1/26,1360.23
2016/1/27,1400.7
2016/1/28,1392.1
2016/1/29,1432.07
2016/2/1,1462.67
2016/2/2,1452.04
2016/2/3,1406.27
2016/2/4,1388.81
2016/2/5,1368.97
2016/2/8,1380.41
2016/2/9,1304.33
2016/2/10,1264.96
2016/2/12,1196.28
2016/2/15,1292.23
2016/2/16,1297.01
2016/2/17,1282.4
2016/2/18,1311.2
2016/2/19,1291.82
2016/2/22,1300
2016/2/23,1291.17
2016/2/24,1284.53
2016/2/25,1307.54
2016/2/26,1311.27
2016/2/29,1297.85
2016/3/1,1300.83
2016/3/2,1349.61
2016/3/3,1369.05
2016/3/4,1375.35
2016/3/7,1361.9
2016/3/8,1347.72
2016/3/9,1332.33
2016/3/10,1352.17
2016/3/11,1359.32
2016/3/14,1379.95
2016/3/15,1372.08
2016/3/16,1360.5
2016/3/17,1358.97
2016/3/18,1345.05
2016/3/22,1369.93
2016/3/23,1364.2
2016/3/24,1354.61
2016/3/25,1366.05
2016/3/28,1381.85
2016/3/29,1377.6
2016/3/30,1356.29
2016/3/31,1347.2
2016/4/1,1301.4
2016/4/4,1302.71
2016/4/5,1268.37
2016/4/6,1267.75
2016/4/7,1272.64
2016/4/8,1287.69
2016/4/11,1279.79
2016/4/12,1299.35
2016/4/13,1332.44
2016/4/14,1371.35
2016/4/15,1361.4
2016/4/18,1320.15
2016/4/19,1363.03
2016/4/20,1365.78
2016/4/21,1393.68
2016/4/22,1407.5
2016/4/25,1401.83
2016/4/26,1391.69
2016/4/27,1384.3
2016/4/28,1340.55
2016/5/2,1299.96
2016/5/6,1298.32
2016/5/9,1306.66
2016/5/10,1334.9
2016/5/11,1334.3
2016/5/12,1337.27
2016/5/13,1320.19
2016/5/16,1321.65
2016/5/17,1335.85
2016/5/18,1338.38
2016/5/19,1336.56
2016/5/20,1343.4
2016/5/23,1338.68
2016/5/24,1326.5
2016/5/25,1342.88
2016/5/26,1342.87
2016/5/27,1349.93
2016/5/30,1366.01
2016/5/31,1379.8
2016/6/1,1362.07
2016/6/2,1331.81
2016/6/3,1337.23
2016/6/6,1332.43
2016/6/7,1340.77
2016/6/8,1350.97
2016/6/9,1337.41
2016/6/10,1330.72
2016/6/13,1284.54
2016/6/14,1271.93
2016/6/15,1277.11
2016/6/16,1241.56
2016/6/17,1250.83
2016/6/20,1279.19
2016/6/21,1293.9
2016/6/22,1284.61
2016/6/23,1298.71
2016/6/24,1204.48
2016/6/27,1225.76
2016/6/28,1224.62
2016/6/29,1247.69
2016/6/30,1245.82
2016/7/1,1254.44
2016/7/4,1261.97
2016/7/5,1256.64
2016/7/6,1234.2
2016/7/7,1226.09
2016/7/8,1209.88
2016/7/11,1255.79
2016/7/12,1285.73
2016/7/13,1300.26
2016/7/14,1311.16
2016/7/15,1317.1
2016/7/19,1331.39
2016/7/20,1330.75
2016/7/21,1339.39
2016/7/22,1327.51
2016/7/25,1325.36
2016/7/26,1306.94
2016/7/27,1321.67
2016/7/28,1307
2016/7/29,1322.74
2016/8/1,1321.83
2016/8/2,1300.2
2016/8/3,1271.98
2016/8/4,1282.99
2016/8/5,1279.9
2016/8/8,1305.53
2016/8/9,1317.49
2016/8/10,1314.83
2016/8/12,1323.22
2016/8/15,1316.63
2016/8/16,1298.47
2016/8/17,1311.13
2016/8/18,1290.79
2016/8/19,1295.67
2016/8/22,1303.68
2016/8/23,1297.56
2016/8/24,1306.71
2016/8/25,1304.27
2016/8/26,1287.9
2016/8/29,1313.24
2016/8/30,1312.81
2016/8/31,1329.54
2016/9/1,1337.38
2016/9/2,1340.76
2016/9/5,1343.85
2016/9/6,1352.58
2016/9/7,1349.53
2016/9/8,1345.95
2016/9/9,1343.86
2016/9/12,1323.1
2016/9/13,1322.99
2016/9/14,1314.74
2016/9/15,1301.11
2016/9/16,1311.5
2016/9/20,1316.97
2016/9/21,1352.67
2016/9/23,1349.56
2016/9/26,1335.84
2016/9/27,1349.22
2016/9/28,1330.77
2016/9/29,1343.25
2016/9/30,1322.78
2016/10/3,1330.72
2016/10/4,1340.21
2016/10/5,1347.81
2016/10/6,1353.93
2016/10/7,1350.61
2016/10/11,1356.35
2016/10/12,1342.35
2016/10/13,1342.31
2016/10/14,1347.19
2016/10/17,1352.56
2016/10/18,1356.57
2016/10/19,1357.2
2016/10/20,1370.8
2016/10/21,1365.29
2016/10/24,1367.61
2016/10/25,1377.32
2016/10/26,1382.7
2016/10/27,1382.01
2016/10/28,1392.41
2016/10/31,1393.02
2016/11/1,1393.19
2016/11/2,1368.44
2016/11/4,1347.04
2016/11/7,1362.8
2016/11/8,1363.49
2016/11/9,1301.16
2016/11/10,1376.35
2016/11/11,1378.28
2016/11/14,1400
2016/11/15,1402.98
2016/11/16,1421.65
2016/11/17,1423.08
2016/11/18,1428.46
2016/11/21,1442.93
2016/11/22,1447.5
2016/11/24,1459.96
2016/11/25,1464.53
2016/11/28,1469.58
2016/11/29,1468.57
2016/11/30,1469.43
2016/12/1,1483.27
2016/12/2,1477.98
2016/12/5,1466.96
2016/12/6,1477.2
2016/12/7,1490.62
2016/12/8,1512.69
2016/12/9,1525.36
2016/12/12,1531.43
2016/12/13,1540.25
2016/12/14,1538.69
2016/12/15,1542.72
2016/12/16,1550.67
2016/12/19,1549.06
2016/12/20,1552.36
2016/12/21,1544.94
2016/12/22,1543.82
2016/12/26,1538.14
2016/12/27,1536.22
2016/12/28,1536.8
2016/12/29,1518.39
2016/12/30,1518.61
2017/1/4,1554.48
2017/1/5,1555.68
2017/1/6,1553.32
2017/1/10,1542.31
2017/1/11,1550.4
2017/1/12,1535.41
2017/1/13,1544.89
2017/1/16,1530.64
2017/1/17,1509.1
2017/1/18,1513.86
2017/1/19,1528.15
2017/1/20,1533.46
2017/1/23,1514.63
2017/1/24,1506.33
2017/1/25,1521.58
2017/1/26,1545.01
2017/1/27,1549.25
2017/1/30,1543.77
2017/1/31,1521.67
2017/2/1,1527.77
2017/2/2,1510.41
2017/2/3,1514.99
2017/2/6,1520.42
2017/2/7,1516.15
2017/2/8,1524.15
2017/2/9,1513.55
2017/2/10,1546.56
2017/2/13,1554.2
2017/2/14,1539.12
2017/2/15,1553.69
2017/2/16,1551.07
2017/2/17,1544.54
2017/2/20,1547.01
2017/2/21,1555.6
2017/2/22,1557.09
2017/2/23,1556.25
2017/2/24,1550.14
2017/2/27,1534
2017/2/28,1535.32
2017/3/1,1553.09
2017/3/2,1564.69
2017/3/3,1558.05
2017/3/6,1554.9
2017/3/7,1555.04
2017/3/8,1550.25
2017/3/9,1554.68
2017/3/10,1574.01
2017/3/13,1577.4
2017/3/14,1574.9
2017/3/15,1571.31
2017/3/16,1572.69
2017/3/17,1565.85
2017/3/21,1563.42
2017/3/22,1530.2
2017/3/23,1530.41
2017/3/24,1543.92
2017/3/27,1524.39
2017/3/28,1544.83
2017/3/29,1542.07
2017/3/30,1527.59
2017/3/31,1512.6
2017/4/3,1517.03
2017/4/4,1504.54
2017/4/5,1504.66
2017/4/6,1480.18
2017/4/7,1489.77
2017/4/10,1499.65
2017/4/11,1495.1
2017/4/12,1479.54
2017/4/13,1468.31
2017/4/14,1459.07
2017/4/17,1465.69
2017/4/18,1471.53
2017/4/19,1471.42
2017/4/20,1472.81
2017/4/21,1488.58
2017/4/24,1503.19
2017/4/25,1519.21
2017/4/26,1537.41
2017/4/27,1536.67
2017/4/28,1531.8
2017/5/1,1539.77
2017/5/2,1550.3
2017/5/8,1585.86
2017/5/9,1581.77
2017/5/10,1585.19
2017/5/11,1586.86
2017/5/12,1580.71
2017/5/15,1580
2017/5/16,1584.23
2017/5/17,1575.82
2017/5/18,1555.01
2017/5/19,1559.73
2017/5/22,1567.65
2017/5/23,1565.22
2017/5/24,1575.11
2017/5/25,1578.42
2017/5/26,1569.42
2017/5/29,1570.21
2017/5/30,1572.67
2017/5/31,1568.37
2017/6/1,1586.14
2017/6/2,1612.2
2017/6/5,1609.97
2017/6/6,1596.44
2017/6/7,1597.09
2017/6/8,1590.41
2017/6/9,1591.66
2017/6/12,1591.55
2017/6/13,1593.51
2017/6/14,1591.77
2017/6/15,1588.09
2017/6/16,1596.04
2017/6/19,1604.19
